Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2
9,900;5,600;6,425;-67,858;0,1337;0,153;-1,620;9,900;3,786;16,054;-47,909;0,0904;0,383;-1,144
9,950;5,836;2,969;-69,115;0,1393;0,071;-1,650;9,950;4,529;13,415;-56,392;0,1081;0,320;-1,346
10,000;5,897;-0,487;-67,701;0,1408;-0,012;-1,616;10,000;5,127;10,414;-62,361;0,1224;0,249;-1,489
10,050;5,787;-3,801;-64,403;0,1382;-0,091;-1,537;10,050;5,570;7,179;-66,916;0,1330;0,171;-1,597
10,100;5,517;-6,927;-60,162;0,1317;-0,165;-1,436;10,100;5,845;3,723;-69,115;0,1395;0,089;-1,650
10,150;5,094;-9,817;-54,978;0,1216;-0,234;-1,313;10,150;5,942;0,267;-67,544;0,1419;0,006;-1,613
10,200;4,535;-12,425;-48,695;0,1083;-0,297;-1,163;10,200;5,872;-3,032;-64,246;0,1402;-0,072;-1,534
10,250;3,852;-14,687;-40,841;0,0920;-0,351;-0,975;10,250;5,639;-6,158;-60,476;0,1346;-0,147;-1,444
10,300;3,066;-16,509;-31,259;0,0732;-0,394;-0,746;10,300;5,256;-9,079;-55,606;0,1255;-0,217;-1,327
10,350;2,201;-17,813;-20,892;0,0525;-0,425;-0,499;10,350;4,731;-11,718;-49,323;0,1129;-0,280;-1,178
10,400;1,285;-18,598;-10,839;0,0307;-0,444;-0,259;10,400;4,084;-14,012;-42,097;0,0975;-0,335;-1,005
10,450;0,341;-18,897;-0,314;0,0081;-0,451;-0,008;10,450;3,330;-15,928;-33,301;0,0795;-0,380;-0,795
10,500;-0,605;-18,630;11,310;-0,0144;-0,445;0,270;10,500;2,491;-17,342;-23,091;0,0595;-0,414;-0,551
10,550;-1,522;-17,766;22,777;-0,0363;-0,424;0,544;10,550;1,596;-18,237;-12,881;0,0381;-0,435;-0,307
10,600;-2,381;-16,352;32,830;-0,0568;-0,390;0,784;10,600;0,668;-18,630;-2,513;0,0159;-0,445;-0,060
10,650;-3,157;-14,483;41,940;-0,0754;-0,346;1,001;10,650;-0,267;-18,488;8,639;-0,0064;-0,441;0,206
10,700;-3,830;-12,158;49,794;-0,0914;-0,290;1,189;10,700;-1,181;-17,766;19,792;-0,0282;-0,424;0,473
10,750;-4,373;-9,503;55,449;-0,1044;-0,227;1,324;10,750;-2,044;-16,509;30,159;-0,0488;-0,394;0,720
10,800;-4,780;-6,613;59,533;-0,1141;-0,158;1,421;10,800;-2,832;-14,750;39,741;-0,0676;-0,352;0,949
10,850;-5,034;-3,550;61,418;-0,1202;-0,085;1,466;10,850;-3,519;-12,535;47,595;-0,0840;-0,299;1,136
10,900;-5,135;-0,471;60,476;-0,1226;-0,011;1,444;10,900;-4,086;-9,990;53,564;-0,0975;-0,239;1,279
10,950;-5,082;2,498;57,491;-0,1213;0,060;1,373;10,950;-4,518;-7,179;57,962;-0,1079;-0,171;1,384
11,000;-4,885;5,278;53,721;-0,1166;0,126;1,283;11,000;-4,803;-4,194;60,476;-0,1147;-0,100;1,444
11,050;-4,554;7,870;49,166;-0,1087;0,188;1,174;11,050;-4,937;-1,131;60,319;-0,1179;-0,027;1,440
11,100;-4,098;10,194;43,511;-0,0978;0,243;1,039;11,100;-4,917;1,838;57,491;-0,1174;0,044;1,372
11,150;-3,534;12,221;36,914;-0,0844;0,292;0,881;11,150;-4,753;4,618;54,035;-0,1135;0,110;1,290
11,200;-2,876;13,886;28,746;-0,0687;0,332;0,686;11,200;-4,455;7,241;49,951;-0,1064;0,173;1,193
11,250;-2,146;15,095;19,164;-0,0512;0,360;0,457;11,250;-4,029;9,613;44,454;-0,0962;0,230;1,061
11,300;-1,367;15,802;9,425;-0,0326;0,377;0,225;11,300;-3,493;11,687;37,856;-0,0834;0,279;0,904
11,350;-0,565;16,038;0,314;-0,0135;0,383;0,008;11,350;-2,860;13,399;30,159;-0,0683;0,320;0,720
11,400;0,237;15,834;-8,954;0,0057;0,378;-0,214;11,400;-2,154;14,703;21,049;-0,0514;0,351;0,503
11,450;1,018;15,142;-18,064;0,0243;0,362;-0,431;11,450;-1,390;15,504;11,153;-0,0332;0,370;0,266
11,500;1,751;14,027;-26,075;0,0418;0,335;-0,623;11,500;-0,603;15,818;2,042;-0,0144;0,378;0,049
11,550;2,421;12,535;-33,458;0,0578;0,299;-0,799;11,550;0,192;15,708;-7,069;0,0046;0,375;-0,169
11,600;3,005;10,681;-39,898;0,0717;0,255;-0,952;11,600;0,968;15,111;-15,865;0,0231;0,361;-0,379
11,650;3,489;8,545;-45,239;0,0833;0,204;-1,080;11,650;1,703;14,121;-23,719;0,0406;0,337;-0,566
11,700;3,859;6,158;-49,166;0,0921;0,147;-1,174;11,700;2,380;12,739;-31,573;0,0568;0,304;-0,754
11,750;4,104;3,629;-50,894;0,0980;0,087;-1,215;11,750;2,977;10,964;-38,485;0,0711;0,262;-0,919
11,800;4,222;1,068;-50,423;0,1008;0,026;-1,204;11,800;3,476;8,891;-43,825;0,0830;0,212;-1,046
11,850;4,211;-1,414;-48,066;0,1005;-0,034;-1,147;11,850;3,866;6,582;-47,909;0,0923;0,157;-1,144
11,900;4,081;-3,738;-44,925;0,0974;-0,089;-1,072;11,900;4,134;4,100;-50,423;0,0987;0,098;-1,204
11,950;3,837;-5,906;-41,626;0,0916;-0,141;-0,994;11,950;4,276;1,539;-50,423;0,1021;0,037;-1,204
12,000;3,490;-7,901;-37,699;0,0833;-0,189;-0,900;12,000;4,288;-0,942;-48,223;0,1024;-0,023;-1,151
12,050;3,047;-9,676;-32,516;0,0727;-0,231;-0,776;12,050;4,181;-3,283;-45,082;0,0998;-0,078;-1,076
12,100;2,523;-11,153;-26,075;0,0602;-0,266;-0,622;12,100;3,960;-5,451;-41,469;0,0945;-0,130;-0,990
12,150;1,932;-12,284;-19,007;0,0461;-0,293;-0,454;12,150;3,636;-7,430;-37,699;0,0868;-0,177;-0,900
12,200;1,294;-13,053;-11,624;0,0309;-0,312;-0,278;12,200;3,217;-9,221;-33,144;0,0768;-0,220;-0,791
12,250;0,627;-13,446;-3,927;0,0150;-0,321;-0,094;12,250;2,714;-10,744;-27,018;0,0648;-0,257;-0,645
12,300;-0,050;-13,446;4,084;-0,0012;-0,321;0,097;12,300;2,143;-11,922;-19,949;0,0511;-0,285;-0,476
12,350;-0,718;-13,038;12,252;-0,0171;-0,311;0,292;12,350;1,522;-12,739;-12,881;0,0363;-0,304;-0,308
12,400;-1,354;-12,221;19,949;-0,0323;-0,292;0,476;12,400;0,869;-13,210;-5,341;0,0207;-0,315;-0,127
12,450;-1,940;-11,043;26,704;-0,0463;-0,264;0,638;12,450;0,201;-13,273;2,670;0,0048;-0,317;0,064
12,500;-2,458;-9,550;32,830;-0,0587;-0,228;0,784;12,500;-0,459;-12,943;10,524;-0,0110;-0,309;0,251
12,550;-2,895;-7,760;38,485;-0,0691;-0,185;0,919;12,550;-1,093;-12,221;18,221;-0,0261;-0,292;0,435
12,600;-3,234;-5,702;42,097;-0,0772;-0,136;1,005;12,600;-1,681;-11,121;25,290;-0,0401;-0,265;0,604
12,650;-3,465;-3,550;43,511;-0,0827;-0,085;1,039;12,650;-2,205;-9,692;31,573;-0,0527;-0,231;0,754
12,700;-3,589;-1,351;43,354;-0,0857;-0,032;1,035;12,700;-2,650;-7,964;36,600;-0,0633;-0,190;0,874
12,750;-3,600;0,785;41,155;-0,0859;0,019;0,982;12,750;-3,002;-6,032;40,369;-0,0717;-0,144;0,964
12,800;-3,511;2,765;38,327;-0,0838;0,066;0,915;12,800;-3,253;-3,927;43,040;-0,0777;-0,094;1,027
12,850;-3,324;4,618;35,343;-0,0793;0,110;0,844;12,850;-3,394;-1,728;43,197;-0,0810;-0,041;1,031
12,900;-3,049;6,299;31,573;-0,0728;0,150;0,754;12,900;-3,426;0,393;40,841;-0,0818;0,009;0,975
12,950;-2,694;7,775;27,332;-0,0643;0,186;0,653;12,950;-3,355;2,356;38,170;-0,0801;0,056;0,911
13,000;-2,271;9,032;22,305;-0,0542;0,216;0,532;13,000;-3,190;4,210;35,343;-0,0762;0,101;0,844
13,050;-1,791;10,006;16,336;-0,0428;0,239;0,390;13,050;-2,934;5,890;31,730;-0,0701;0,141;0,757
13,100;-1,271;10,666;10,053;-0,0303;0,255;0,240;13,100;-2,601;7,383;27,803;-0,0621;0,176;0,664
13,150;-0,724;11,011;3,456;-0,0173;0,263;0,083;13,150;-2,196;8,671;22,934;-0,0524;0,207;0,548
13,200;-0,170;11,011;-3,299;-0,0041;0,263;-0,079;13,200;-1,734;9,676;17,279;-0,0414;0,231;0,413
13,250;0,377;10,681;-9,896;0,0090;0,255;-0,236;13,250;-1,228;10,399;11,153;-0,0293;0,248;0,266
13,300;0,898;10,022;-16,022;0,0214;0,239;-0,382;13,300;-0,694;10,791;4,555;-0,0166;0,258;0,109
13,350;1,379;9,079;-21,206;0,0329;0,217;-0,506;13,350;-0,149;10,854;-1,885;-0,0036;0,259;-0,045
13,400;1,806;7,901;-25,918;0,0431;0,189;-0,619;13,400;0,391;10,603;-8,325;0,0093;0,253;-0,199
13,450;2,169;6,487;-30,159;0,0518;0,155;-0,720;13,450;0,911;10,022;-14,608;0,0217;0,239;-0,349
13,500;2,455;4,885;-33,301;0,0586;0,117;-0,795;13,500;1,393;9,142;-20,106;0,0333;0,218;-0,480
13,550;2,658;3,157;-35,186;0,0634;0,075;-0,840;13,550;1,825;8,011;-24,976;0,0436;0,191;-0,596
13,600;2,771;1,367;-35,500;0,0661;0,033;-0,847;13,600;2,194;6,644;-28,903;0,0524;0,159;-0,690
13,650;2,794;-0,393;-33,772;0,0667;-0,009;-0,806;13,650;2,490;5,121;-31,887;0,0594;0,122;-0,761
13,700;2,732;-2,011;-31,102;0,0652;-0,048;-0,743;13,700;2,706;3,456;-34,400;0,0646;0,083;-0,821
13,750;2,593;-3,503;-28,746;0,0619;-0,084;-0,686;13,750;2,835;1,681;-35,343;0,0677;0,040;-0,844
13,800;2,381;-4,885;-25,761;0,0568;-0,117;-0,615;13,800;2,875;-0,079;-33,772;0,0686;-0,002;-0,806
13,850;2,105;-6,079;-22,148;0,0502;-0,145;-0,529;13,850;2,827;-1,696;-30,945;0,0675;-0,041;-0,739
13,900;1,773;-7,100;-18,221;0,0423;-0,170;-0,435;13,900;2,705;-3,173;-28,589;0,0646;-0,076;-0,683
13,950;1,395;-7,901;-13,666;0,0333;-0,189;-0,326;13,950;2,510;-4,555;-25,918;0,0599;-0,109;-0,619
14,000;0,983;-8,467;-8,796;0,0235;-0,202;-0,210;14,000;2,249;-5,765;-22,462;0,0537;-0,138;-0,536
14,050;0,548;-8,781;-3,456;0,0131;-0,210;-0,082;14,050;1,934;-6,802;-18,692;0,0462;-0,162;-0,446
14,100;0,105;-8,812;1,885;0,0025;-0,210;0,045;14,100;1,569;-7,634;-14,294;0,0375;-0,182;-0,341
14,150;-0,333;-8,592;7,226;-0,0080;-0,205;0,173;14,150;1,170;-8,231;-9,425;0,0279;-0,197;-0,225
14,200;-0,754;-8,090;12,409;-0,0180;-0,193;0,296;14,200;0,746;-8,577;-4,241;0,0178;-0,205;-0,101
14,250;-1,142;-7,351;16,808;-0,0273;-0,176;0,401;14,250;0,313;-8,655;0,942;0,0075;-0,207;0,023
14,300;-1,489;-6,409;20,892;-0,0356;-0,153;0,499;14,300;-0,119;-8,482;5,969;-0,0029;-0,202;0,142
14,350;-1,783;-5,262;24,504;-0,0426;-0,126;0,585;14,350;-0,536;-8,058;11,153;-0,0128;-0,192;0,266
14,400;-2,015;-3,958;27,018;-0,0481;-0,095;0,645;14,400;-0,925;-7,367;16,022;-0,0221;-0,176;0,383
14,450;-2,179;-2,560;28,431;-0,0520;-0,061;0,679;14,450;-1,272;-6,456;19,792;-0,0304;-0,154;0,473
14,500;-2,271;-1,115;28,431;-0,0542;-0,027;0,679;14,500;-1,571;-5,388;23,248;-0,0375;-0,129;0,555
14,550;-2,290;0,283;26,546;-0,0547;0,007;0,634;14,550;-1,811;-4,131;26,232;-0,0432;-0,099;0,626
14,600;-2,243;1,539;24,033;-0,0536;0,037;0,574;14,600;-1,984;-2,765;27,803;-0,0474;-0,066;0,664
14,650;-2,136;2,686;21,834;-0,0510;0,064;0,521;14,650;-2,088;-1,351;27,960;-0,0498;-0,032;0,668
14,700;-1,974;3,723;19,478;-0,0471;0,089;0,465;14,700;-2,119;0,031;26,389;-0,0506;7,500E-4;0,630
14,750;-1,764;4,634;16,965;-0,0421;0,111;0,405;14,750;-2,084;1,288;23,876;-0,0498;0,031;0,570
14,800;-1,511;5,419;13,980;-0,0361;0,129;0,334;14,800;-1,990;2,419;21,677;-0,0475;0,058;0,517
14,850;-1,222;6,032;10,210;-0,0292;0,144;0,244;14,850;-1,843;3,456;19,792;-0,0440;0,083;0,473
14,900;-0,908;6,440;6,283;-0,0217;0,154;0,150;14,900;-1,645;4,398;17,279;-0,0393;0,105;0,413
14,950;-0,578;6,660;2,513;-0,0138;0,159;0,060;14,950;-1,403;5,184;13,980;-0,0335;0,124;0,334
15,000;-0,242;6,692;-1,414;-0,0058;0,160;-0,034;15,000;-1,126;5,796;10,524;-0,0269;0,138;0,251
15,050;0,091;6,519;-5,655;0,0022;0,156;-0,135;15,050;-0,823;6,236;7,069;-0,0197;0,149;0,169
15,100;0,410;6,126;-9,582;0,0098;0,146;-0,229;15,100;-0,503;6,503;3,456;-0,0120;0,155;0,083
15,150;0,704;5,561;-12,881;0,0168;0,133;-0,308;15,150;-0,173;6,582;-0,785;-0,0041;0,157;-0,019
15,200;0,966;4,838;-15,708;0,0231;0,116;-0,375;15,200;0,156;6,425;-5,027;0,0037;0,153;-0,120
15,250;1,188;3,990;-18,221;0,0283;0,095;-0,435;15,250;0,470;6,079;-8,639;0,0112;0,145;-0,206
15,300;1,365;3,016;-20,263;0,0326;0,072;-0,484;15,300;0,763;5,561;-12,252;0,0182;0,133;-0,293
15,350;1,489;1,963;-21,363;0,0355;0,047;-0,510;15,350;1,026;4,854;-15,237;0,0245;0,116;-0,364
15,400;1,561;0,880;-21,520;0,0373;0,021;-0,514;15,400;1,249;4,037;-17,436;0,0298;0,096;-0,416
15,450;1,577;-0,188;-20,106;0,0376;-0,005;-0,480;15,450;1,429;3,110;-19,478;0,0341;0,074;-0,465
15,500;1,543;-1,131;-17,750;0,0368;-0,027;-0,424;15,500;1,560;2,089;-20,892;0,0372;0,050;-0,499
15,550;1,464;-1,963;-15,708;0,0349;-0,047;-0,375;15,550;1,638;1,021;-21,049;0,0391;0,024;-0,502
15,600;1,346;-2,702;-13,980;0,0321;-0,065;-0,334;15,600;1,662;-0,016;-19,792;0,0397;-3,750E-4;-0,472
15,650;1,194;-3,362;-12,095;0,0285;-0,080;-0,289;15,650;1,637;-0,958;-17,750;0,0391;-0,023;-0,424
15,700;1,010;-3,911;-9,739;0,0241;-0,093;-0,233;15,700;1,566;-1,791;-15,551;0,0374;-0,043;-0,371
15,750;0,803;-4,335;-7,069;0,0192;-0,104;-0,169;15,750;1,458;-2,513;-13,823;0,0348;-0,060;-0,330
15,800;0,576;-4,618;-4,084;0,0138;-0,110;-0,097;15,800;1,315;-3,173;-12,095;0,0314;-0,076;-0,289
15,850;0,341;-4,744;-1,257;0,0081;-0,113;-0,030;15,850;1,140;-3,723;-9,739;0,0272;-0,089;-0,233
15,900;0,102;-4,744;1,571;0,0024;-0,113;0,038;15,900;0,942;-4,147;-7,226;0,0225;-0,099;-0,173
15,950;-0,134;-4,587;4,398;-0,0032;-0,110;0,105;15,950;0,726;-4,445;-4,555;0,0173;-0,106;-0,109
16,000;-0,357;-4,304;6,912;-0,0085;-0,103;0,165;16,000;0,498;-4,602;-1,728;0,0119;-0,110;-0,041
16,050;-0,564;-3,896;9,425;-0,0135;-0,093;0,225;16,050;0,265;-4,618;1,100;0,0063;-0,110;0,026
16,100;-0,746;-3,362;11,624;-0,0178;-0,080;0,277;16,100;0,036;-4,492;3,770;8,6250E-4;-0,107;0,090
16,150;-0,900;-2,733;13,509;-0,0215;-0,065;0,322;16,150;-0,184;-4,241;6,440;-0,0044;-0,101;0,154
16,200;-1,019;-2,011;14,765;-0,0243;-0,048;0,353;16,200;-0,388;-3,848;8,954;-0,0093;-0,092;0,214
16,250;-1,101;-1,257;15,394;-0,0263;-0,030;0,368;16,250;-0,569;-3,346;11,153;-0,0136;-0,080;0,266
16,300;-1,145;-0,471;14,923;-0,0273;-0,011;0,356;16,300;-0,723;-2,733;13,038;-0,0173;-0,065;0,311
16,350;-1,148;0,236;12,723;-0,0274;0,006;0,304;16,350;-0,842;-2,042;14,294;-0,0201;-0,049;0,341
16,400;-1,122;0,801;10,839;-0,0268;0,019;0,259;16,400;-0,927;-1,304;14,923;-0,0221;-0,031;0,356
16,450;-1,068;1,319;9,896;-0,0255;0,032;0,236;16,450;-0,972;-0,550;14,294;-0,0232;-0,013;0,341
16,500;-0,990;1,791;8,639;-0,0236;0,043;0,206;16,500;-0,982;0,126;12,566;-0,0234;0,003;0,300
16,550;-0,889;2,183;7,226;-0,0212;0,052;0,172;16,550;-0,960;0,707;10,681;-0,0229;0,017;0,255
16,600;-0,771;2,513;5,655;-0,0184;0,060;0,135;16,600;-0,911;1,194;9,111;-0,0218;0,028;0,218
16,650;-0,638;2,749;3,927;-0,0152;0,066;0,094;16,650;-0,840;1,618;8,011;-0,0201;0,039;0,191
16,700;-0,496;2,906;2,356;-0,0119;0,069;0,056;16,700;-0,749;1,995;7,069;-0,0179;0,048;0,169
16,750;-0,347;2,985;0,314;-0,0083;0,071;0,007;16,750;-0,641;2,325;5,655;-0,0153;0,055;0,135
16,800;-0,198;2,937;-1,571;-0,0047;0,070;-0,038;16,800;-0,517;2,560;3,927;-0,0123;0,061;0,094
16,850;-0,053;2,827;-2,985;-0,0013;0,067;-0,071;16,850;-0,385;2,717;2,356;-0,0092;0,065;0,056
16,900;0,085;2,639;-4,869;0,0020;0,063;-0,116;16,900;-0,245;2,796;0,628;-0,0059;0,067;0,015
16,950;0,210;2,340;-6,597;0,0050;0,056;-0,158;16,950;-0,105;2,780;-0,942;-0,0025;0,066;-0,023
17,000;0,319;1,979;-7,697;0,0076;0,047;-0,184;17,000;0,033;2,702;-2,513;7,8750E-4;0,064;-0,060
17,050;0,408;1,571;-8,639;0,0097;0,037;-0,206;17,050;0,165;2,529;-4,398;0,0039;0,060;-0,105
17,100;0,476;1,115;-9,268;0,0114;0,027;-0,221;17,100;0,286;2,262;-5,969;0,0068;0,054;-0,142
17,150;0,520;0,644;-9,425;0,0124;0,015;-0,225;17,150;0,391;1,932;-7,069;0,0093;0,046;-0,169
17,200;0,540;0,173;-8,325;0,0129;0,004;-0,199;17,200;0,479;1,555;-8,011;0,0114;0,037;-0,191
17,250;0,537;-0,188;-6,126;0,0128;-0,004;-0,146;17,250;0,547;1,131;-8,639;0,0130;0,027;-0,206
17,300;0,522;-0,440;-4,555;0,0124;-0,010;-0,109;17,300;0,592;0,691;-8,796;0,0141;0,016;-0,210
17,350;0,493;-0,644;-3,613;0,0118;-0,015;-0,086;17,350;0,616;0,251;-8,168;0,0147;0,006;-0,195
17,400;0,457;-0,801;-2,985;0,0109;-0,019;-0,071;17,400;0,617;-0,126;-6,126;0,0147;-0,003;-0,146
17,450;0,413;-0,942;-2,356;0,0099;-0,023;-0,056;17,450;0,603;-0,361;-4,084;0,0144;-0,009;-0,097
17,500;0,363;-1,037;-1,571;0,0087;-0,025;-0,037;17,500;0,581;-0,534;-3,299;0,0139;-0,013;-0,079
17,550;0,309;-1,100;-0,942;0,0074;-0,026;-0,022;17,550;0,550;-0,691;-2,827;0,0131;-0,016;-0,067
17,600;0,253;-1,131;-0,471;0,0060;-0,027;-0,011;17,600;0,512;-0,817;-2,356;0,0122;-0,019;-0,056
17,650;0,196;-1,147;-4,019E-13;0,0047;-0,027;-9,680E-15;17,650;0,468;-0,927;-1,885;0,0112;-0,022;-0,045
17,700;0,138;-1,131;0,785;0,0033;-0,027;0,019;17,700;0,419;-1,005;-1,257;0,0100;-0,024;-0,030
17,750;0,083;-1,068;1,571;0,0020;-0,025;0,038;17,750;0,368;-1,052;-0,471;0,0088;-0,025;-0,011
17,800;0,031;-0,974;2,042;7,5000E-4;-0,023;0,049;17,800;0,314;-1,052;0,314;0,0075;-0,025;0,007
17,850;-0,014;-0,864;2,356;-3,3750E-4;-0,021;0,056;17,850;0,262;-1,021;0,785;0,0063;-0,024;0,019
17,900;-0,055;-0,738;2,827;-0,0013;-0,018;0,067;17,900;0,212;-0,974;1,257;0,0051;-0,023;0,030
17,950;-0,088;-0,581;3,299;-0,0021;-0,014;0,079;17,950;0,165;-0,895;2,042;0,0039;-0,021;0,049
18,000;-0,113;-0,408;3,613;-0,0027;-0,010;0,086;18,000;0,123;-0,770;2,670;0,0029;-0,018;0,064
18,050;-0,129;-0,220;3,456;-0,0031;-0,005;0,083;18,050;0,088;-0,628;2,670;0,0021;-0,015;0,064
18,100;-0,135;-0,063;2,356;-0,0032;-0,001;0,056;18,100;0,060;-0,503;2,670;0,0014;-0,012;0,064
18,150;-0,135;0,016;1,100;-0,0032;3,750E-4;0,026;18,150;0,038;-0,361;3,142;9,0000E-4;-0,009;0,075
18,200;-0,134;0,047;0,314;-0,0032;0,001;0,007;18,200;0,024;-0,188;3,142;5,6250E-4;-0,005;0,075
18,250;-0,130;0,047;-0,314;-0,0031;0,001;-0,008;18,250;0,019;-0,047;1,885;4,5000E-4;-0,001;0,045
18,300;-0,129;0,016;-0,471;-0,0031;3,750E-4;-0,011;18,300;0,019;0,000;0,471;4,5000E-4;0,000;0,011
18,350;-0,129;0,000;5,586E-15;-0,0031;0,000;1,328E-16;18,350;0,019;0,000;0,157;4,5000E-4;0,000;0,004
18,400;-0,129;0,016;0,157;-0,0031;3,750E-4;0,004;18,400;0,019;0,016;0,157;4,5000E-4;3,750E-4;0,004
18,450;-0,127;0,016;-0,157;-0,0030;3,750E-4;-0,004;18,450;0,020;0,016;-0,157;4,8750E-4;3,750E-4;-0,004
18,500;-0,127;0,000;-0,157;-0,0030;0,000;-0,004;18,500;0,020;0,000;-0,157;4,8750E-4;0,000;-0,004
18,550;-0,127;0,000;0,000;-0,0030;0,000;0,000;18,550;0,020;0,000;0,157;4,8750E-4;0,000;0,004
18,600;-0,127;0,000;0,000;-0,0030;0,000;0,000;18,600;0,020;0,016;0,157;4,8750E-4;3,750E-4;0,004
18,650;-0,127;0,000;0,000;-0,0030;0,000;0,000;18,650;0,022;0,016;-0,157;5,2500E-4;3,750E-4;-0,004
18,700;-0,127;0,000;0,157;-0,0030;0,000;0,004;18,700;0,022;0,000;-0,157;5,2500E-4;0,000;-0,004
18,750;-0,127;0,016;0,157;-0,0030;3,750E-4;0,004;18,750;0,022;0,000;0,000;5,2500E-4;0,000;0,000
18,800;-0,126;0,016;-0,157;-0,0030;3,750E-4;-0,004;18,800;0,022;0,000;0,000;5,2500E-4;0,000;0,000
18,850;-0,126;0,000;-0,157;-0,0030;0,000;-0,004;18,850;0,022;0,000;0,157;5,2500E-4;0,000;0,004
18,900;-0,126;0,000;0,000;-0,0030;0,000;0,000;18,900;0,022;0,016;0,157;5,2500E-4;3,750E-4;0,004
18,950;-0,126;0,000;0,000;-0,0030;0,000;0,000;18,950;0,024;0,016;-0,157;5,6250E-4;3,750E-4;-0,004
19,000;-0,126;0,000;0,000;-0,0030;0,000;0,000;19,000;0,024;0,000;-0,157;5,6250E-4;0,000;-0,004
19,050;-0,126;0,000;0,000;-0,0030;0,000;0,000;19,050;0,024;0,000;0,000;5,6250E-4;0,000;0,000
19,100;-0,126;0,000;0,000;-0,0030;0,000;0,000;19,100;0,024;0,000;0,000;5,6250E-4;0,000;0,000
19,150;-0,126;0,000;0,157;-0,0030;0,000;0,004;19,150;0,024;0,000;0,000;5,6250E-4;0,000;0,000
19,200;-0,126;0,016;0,157;-0,0030;3,750E-4;0,004;19,200;0,024;0,000;0,000;5,6250E-4;0,000;0,000
19,250;-0,124;0,016;-0,157;-0,0030;3,750E-4;-0,004;19,250;0,024;0,000;0,000;5,6250E-4;0,000;0,000
19,300;-0,124;0,000;-0,157;-0,0030;0,000;-0,004;19,300;0,024;0,000;0,000;5,6250E-4;0,000;0,000
19,350;-0,124;0,000;0,000;-0,0030;0,000;0,000;19,350;0,024;0,000;0,000;5,6250E-4;0,000;0,000
19,400;-0,124;0,000;0,000;-0,0030;0,000;0,000;19,400;0,024;0,000;0,157;5,6250E-4;0,000;0,004
19,450;-0,124;0,000;0,000;-0,0030;0,000;0,000;19,450;0,024;0,016;0,157;5,6250E-4;3,750E-4;0,004
19,500;-0,124;0,000;0,000;-0,0030;0,000;0,000;19,500;0,025;0,016;-0,157;6,0000E-4;3,750E-4;-0,004
19,550;-0,124;0,000;0,000;-0,0030;0,000;0,000;19,550;0,025;0,000;-0,157;6,0000E-4;0,000;-0,004
19,600;-0,124;0,000;0,000;-0,0030;0,000;0,000;19,600;0,025;0,000;0,000;6,0000E-4;0,000;0,000
19,650;-0,124;0,000;0,000;-0,0030;0,000;0,000;19,650;0,025;0,000;;6,0000E-4;0,000;
19,700;-0,124;0,000;0,000;-0,0030;0,000;0,000;;;;;;;
19,750;-0,124;0,000;0,157;-0,0030;0,000;0,004;;;;;;;
19,800;-0,124;0,016;0,157;-0,0030;3,750E-4;0,004;;;;;;;
19,850;-0,123;0,016;-0,157;-0,0029;3,750E-4;-0,004;;;;;;;
19,900;-0,123;0,000;-0,157;-0,0029;0,000;-0,004;;;;;;;
19,950;-0,123;0,000;0,000;-0,0029;0,000;0,000;;;;;;;
20,000;-0,123;0,000;0,000;-0,0029;0,000;0,000;;;;;;;
20,050;-0,123;0,000;0,000;-0,0029;0,000;0,000;;;;;;;
20,100;-0,123;0,000;;-0,0029;0,000;;;;;;;;
